title,author,rating,image,url,genre,week
최후의 금빛아이,알깨 / 새몽,9.95,https://image-comic.pstatic.net/webtoon/772734/thumbnail/thumbnail_IMAG21_fdecfea5-8ca1-4a32-9c55-34a30f24266d.jpg,https://comic.naver.com/webtoon/list?titleId=772734,#판타지#이세계#성장드라마,월
주작연애,우까,9.81,https://image-comic.pstatic.net/webtoon/802854/thumbnail/thumbnail_IMAG21_8acfafa7-d1db-42fa-9e01-3b7500650e11.jpg,https://comic.naver.com/webtoon/list?titleId=802854,#로맨스#고자극로맨스#최강자전#혐관로맨스#학원로맨스#하이틴,기타
도깨비 부른다,WEBANGSANG,9.94,https://image-comic.pstatic.net/webtoon/800618/thumbnail/thumbnail_IMAG21_0e4be823-3c99-480c-923a-eaa554b46646.jpg,https://comic.naver.com/webtoon/list?titleId=800618,#판타지,화
달로 만든 아이,온윤,9.97,https://image-comic.pstatic.net/webtoon/784107/thumbnail/thumbnail_IMAG21_98a19f14-de9a-491d-bc11-a3103e7e671d.jpg,https://comic.naver.com/webtoon/list?titleId=784107,#판타지#최강자전#2020 최강자전#오컬트,월
매지컬 급식:암살법사,웡웡이,9.94,https://image-comic.pstatic.net/webtoon/791062/thumbnail/thumbnail_IMAG21_d358a9ab-09bc-436b-8a77-076cae2ea8d1.jpg,https://comic.naver.com/webtoon/list?titleId=791062,#판타지#학원물#이능력배틀물,월
백호랑,박혬,9.95,https://image-comic.pstatic.net/webtoon/745654/thumbnail/thumbnail_IMAG21_3978989878055821874.jpg,https://comic.naver.com/webtoon/list?titleId=745654,#판타지,월
영앤리치가 아니야!,최삡뺩,9.96,https://image-comic.pstatic.net/webtoon/734574/thumbnail/thumbnail_IMAG21_8688bbf6-1067-465b-9070-4fef7c1ab1cd.jpg,https://comic.naver.com/webtoon/list?titleId=734574,#개그#재벌,월
북부 공작님을 유혹하겠습니다,가천가 / 은하수 / 주시하,9.97,https://image-comic.pstatic.net/webtoon/794421/thumbnail/thumbnail_IMAG21_65e1c328-a2e5-42f6-86ef-47d7424bb44e.jpg,https://comic.naver.com/webtoon/list?titleId=794421,#로맨스#로판#소설원작,월
굿바이 유교보이,아실,9.94,https://image-comic.pstatic.net/webtoon/798293/thumbnail/thumbnail_IMAG21_fe6bfde6-5033-4037-9c30-eecd3fd70de3.jpg,https://comic.naver.com/webtoon/list?titleId=798293,#로맨스#계략여주#2030연애#계약연애#직진남#삼각관계,월
원하나,비진,9.90,https://image-comic.pstatic.net/webtoon/804469/thumbnail/thumbnail_IMAG21_2aa7b888-6149-4ba0-ae84-0158fd0e249c.jpeg,https://comic.naver.com/webtoon/list?titleId=804469,#드라마#2021 최강자전,월
오늘의 비너스,엄세윤 / 도달,9.97,https://image-comic.pstatic.net/webtoon/793944/thumbnail/thumbnail_IMAG21_0c4cd9dc-26bc-4977-88ab-ec2939612bba.jpg,https://comic.naver.com/webtoon/list?titleId=793944,#로맨스#환골탈태#2021 지상최대공모전#친구>연인#연예계,완결
너를 돌려차는 방법,한성만,9.96,https://image-comic.pstatic.net/webtoon/802551/thumbnail/thumbnail_IMAG21_04fdcd36-c440-4feb-8b3d-573b3584a32f.jpg,https://comic.naver.com/webtoon/list?titleId=802551,#로맨스#동아리#소꿉친구#로맨스코미디#힐링#혐관로맨스#하이틴#학원로맨스#친구>연인#연상연하#성장드라마,월
고백어택,늠개,9.88,https://image-comic.pstatic.net/webtoon/807397/thumbnail/thumbnail_IMAG21_d0a7cee2-4ded-4506-aedf-71c25675247c.jpg,https://comic.naver.com/webtoon/list?titleId=807397,#로맨스#짝사랑#학원로맨스,월
세번째 로망스,문조,9.95,https://image-comic.pstatic.net/webtoon/796368/thumbnail/thumbnail_IMAG21_9f304f70-bc24-4cdc-b582-8d1b63d013e0.jpg,https://comic.naver.com/webtoon/list?titleId=796368,#로맨스#타임슬립#전남친,월
"집사, 주세요!",꾀돌이,9.92,https://image-comic.pstatic.net/webtoon/802033/thumbnail/thumbnail_IMAG21_ccce5530-0976-4a0d-b76c-d54c5620cdd5.jpg,https://comic.naver.com/webtoon/list?titleId=802033,#로맨스#로맨스코미디#4차원#하이틴#학원로맨스#역하렘,월
슈퍼스타 천대리,Do8 / 이재국 / 박경원,9.83,https://image-comic.pstatic.net/webtoon/785749/thumbnail/thumbnail_IMAG21_7d010b0f-a77f-4449-a910-1816e2c547cc.jpg,https://comic.naver.com/webtoon/list?titleId=785749,#감성#음악#연예계#소설원작,월
어쌔신 크리드 - 잊혀진 사원,"샤이아탄, ARC, Ubisoft / Tabii",9.85,https://image-comic.pstatic.net/webtoon/808760/thumbnail/thumbnail_IMAG21_41bce5b2-aa2a-4186-94ea-22bf8b37488a.jpg,https://comic.naver.com/webtoon/list?titleId=808760,#판타지#레드아이스 스튜디오#게임판타지,월
메리의 불타는 행복회로,김지수,9.93,https://image-comic.pstatic.net/webtoon/797253/thumbnail/thumbnail_IMAG21_3adf296f-505b-4824-98b0-61c28432fb2d.jpg,https://comic.naver.com/webtoon/list?titleId=797253,#드라마,월
포스트 팬데믹,좡좡 / 영명 / 한산이가,9.88,https://image-comic.pstatic.net/webtoon/807159/thumbnail/thumbnail_IMAG21_e7c75b1e-7bc4-484b-874d-1245f114479e.jpg,https://comic.naver.com/webtoon/list?titleId=807159,#스릴러#소설원작,월
역주행!,김현아,9.91,https://image-comic.pstatic.net/webtoon/776256/thumbnail/thumbnail_IMAG21_d520a876-7403-4349-a56a-f1203882bed2.jpg,https://comic.naver.com/webtoon/list?titleId=776256,#드라마#아이돌#아이돌연애#연예계,월
토마토가 돼라!,뮤리,9.96,https://image-comic.pstatic.net/webtoon/805702/thumbnail/thumbnail_IMAG21_e7e812d2-5d0a-46c6-8a39-b67a5010a7bc.jpg,https://comic.naver.com/webtoon/list?titleId=805702,#로맨스,월
러브 똘츄얼리,김진경,7.12,https://image-comic.pstatic.net/webtoon/811129/thumbnail/thumbnail_IMAG21_02284133-0eb0-407a-9c4e-7381dbd7a8a4.jpg,https://comic.naver.com/webtoon/list?titleId=811129,#로맨스,월
